Timestep,Score,Won,Steps Alive
475144,1,0,46
476336,3,0,149
476720,2,0,48
477096,1,0,47
477472,2,0,47
478296,2,0,103
479288,2,0,124
481336,5,0,256
482416,4,0,135
482824,2,0,51
484040,3,0,152
485424,5,0,173
485800,1,0,47
486600,2,0,100
488608,4,0,251
490056,4,0,181
490544,2,0,61
490936,2,0,49
491368,2,0,54
491528,0,0,20
492896,5,0,171
493376,1,0,60
493768,1,0,49
494952,3,0,148
495496,2,0,68
497248,5,0,219
498504,3,0,157
498992,1,0,61
500352,2,0,170
500728,1,0,47
501608,4,0,110
501984,1,0,47
502408,1,0,53
502872,1,0,58
503264,1,0,49
504520,4,0,157
506264,4,0,218
506688,2,0,53
508360,2,0,209
508752,2,0,49
509136,2,0,48
511408,5,0,284
512296,3,0,111
513192,2,0,112
513584,1,0,49
513984,2,0,50
514368,1,0,48
515216,3,0,106
515608,1,0,49
517784,8,0,272
519568,5,0,223
520416,2,0,106
520888,2,0,59
523856,7,0,371
526336,5,0,310
528280,5,0,243
529568,4,0,161
531320,3,0,219
533416,4,0,262
534552,2,0,142
535352,2,0,100
536544,3,0,149
537008,1,0,58
537432,1,0,53
537808,2,0,47
538184,2,0,47
539480,1,0,162
539856,2,0,47
540240,1,0,48
540680,1,0,55
541528,2,0,106
541904,0,0,47
542816,2,0,114
543192,2,0,47
544904,5,0,214
545480,1,0,72
545856,2,0,47
546240,2,0,48
546624,1,0,48
547176,1,0,69
548008,1,0,104
548776,2,0,96
549272,1,0,62
549704,2,0,54
551784,5,0,260
552232,0,0,56
553656,4,0,178
554232,1,0,72
555600,3,0,171
556064,2,0,58
557256,4,0,149
558688,6,0,179
559824,3,0,142
560248,1,0,53
560664,1,0,52
561128,1,0,58
562504,4,0,172
562912,1,0,51
563352,1,0,55
565328,5,0,247
565712,1,0,48
566136,1,0,53
566560,1,0,53
566936,0,0,47
567352,1,0,52
569696,7,0,293
570520,2,0,103
571784,3,0,158
572344,1,0,70
573448,3,0,138
574032,1,0,73
574816,2,0,98
575200,1,0,48
575632,0,0,54
576080,1,0,56
576456,2,0,47
576920,1,0,58
578144,4,0,153
578992,2,0,106
579368,2,0,47
579752,2,0,48
580128,2,0,47
583480,5,0,419
584672,3,0,149
585136,1,0,58
585736,2,0,75
587824,8,0,261
588304,1,0,60
588680,1,0,47
589056,2,0,47
589440,1,0,48
590328,1,0,111
591112,4,0,98
592128,3,0,127
592984,2,0,107
595216,6,0,279
596368,4,0,144
596792,2,0,53
597552,1,0,95
597944,2,0,49
598424,2,0,60
599664,3,0,155
600264,1,0,75
600672,2,0,51
601048,1,0,47
601440,2,0,49
601816,1,0,47
602760,2,0,118
603584,3,0,103
604040,1,0,57
605208,5,0,146
605584,1,0,47
605976,2,0,49
606416,1,0,55
608072,5,0,207
609016,2,0,118
609896,2,0,110
613000,7,0,388
613376,1,0,47
613752,1,0,47
614920,5,0,146
615928,2,0,126
616384,1,0,57
617160,3,0,97
618864,4,0,213
619256,1,0,49
619680,2,0,53
620456,3,0,97
620984,1,0,66
622256,5,0,159
622728,2,0,59
623240,1,0,64
624472,3,0,154
625656,3,0,148
626056,1,0,50
626448,0,0,49
627992,6,0,193
630592,7,0,325
631864,3,0,159
633192,4,0,166
633584,1,0,49
635152,4,0,196
637160,8,0,251
637544,2,0,48
639624,5,0,260
640008,1,0,48
641192,4,0,148
641640,1,0,56
642048,1,0,51
643296,3,0,156
644472,5,0,147
